Date,Open,High,Low,Close,Volume
2024-01-01,910.52,910.52,908.0,908.61,1748964
2024-01-02,907.82,907.82,891.03,892.46,1846353
2024-01-03,892.85,901.38,891.6,895.13,1504671
2024-01-04,895.28,895.28,877.45,884.41,1757470
2024-01-05,886.14,897.99,886.14,890.23,2149361
2024-01-08,893.02,893.02,886.52,887.84,1354711
2024-01-09,885.68,902.19,880.02,894.07,1433675
2024-01-10,897.1,907.25,897.04,903.65,1399118
2024-01-11,906.61,906.61,902.27,902.89,2055365
2024-01-12,900.63,910.4,900.63,906.86,1513051
2024-01-15,915.33,915.33,900.58,901.93,1472282
2024-01-16,903.75,903.75,882.62,890.22,2134326
2024-01-17,888.33,906.14,888.33,905.63,2181158
2024-01-18,904.49,904.49,888.77,890.13,2089452
2024-01-19,887.96,908.99,887.96,896.51,1575280
2024-01-22,896.26,896.26,884.72,887.74,2099721
2024-01-23,883.9,883.9,870.49,880.21,1572905
2024-01-24,881.13,891.11,881.13,884.78,1867187
2024-01-25,881.2,901.28,881.2,896.47,2161354
2024-01-26,903.47,907.38,900.59,900.75,1656449
2024-01-29,896.68,918.78,896.68,918.15,1739587
2024-01-30,909.42,938.59,909.42,934.02,2084385
2024-01-31,934.01,943.54,934.01,940.43,2489950
2024-02-01,938.75,938.75,921.13,928.71,1654299
2024-02-02,924.22,936.92,924.22,929.99,2154079
2024-02-05,935.07,942.96,928.64,930.21,1278694
2024-02-06,923.96,930.83,919.3,929.03,2196247
2024-02-07,929.22,944.42,929.22,935.81,1591340
2024-02-08,943.37,943.37,920.92,921.98,1555590
2024-02-09,922.94,934.43,922.94,925.71,2129584
2024-02-12,927.41,942.23,927.41,941.98,2006794
2024-02-13,942.31,951.71,941.28,947.73,2079929
2024-02-14,955.89,965.93,955.89,962.41,1897481
2024-02-15,962.87,962.87,950.65,959.18,2007751
2024-02-16,960.33,976.13,960.33,973.14,1891893
2024-02-19,969.27,971.28,962.71,966.23,2007287
2024-02-20,966.06,972.73,961.53,964.15,1501886
2024-02-21,965.69,973.24,965.69,970.39,2206025
2024-02-22,979.19,979.19,962.27,962.29,1055078
2024-02-23,969.61,972.29,969.61,970.51,1796570
2024-02-26,968.6,999.64,968.6,997.0,1523724
2024-02-27,988.61,999.84,988.61,998.14,2600987
2024-02-28,999.31,1006.96,990.52,996.54,3065976
2024-02-29,998.42,998.42,983.31,986.54,2077336
2024-03-01,984.82,1003.76,984.82,1002.21,2296089
2024-03-04,1007.82,1020.05,1007.82,1008.21,2650619
2024-03-05,1004.81,1017.3,1004.81,1015.41,1818766
