pattern,direction,horizon,n,mean_ret,median_ret,std_ret,pct_positive,min_ret,max_ret,low_confidence,ticker
bearish_engulfing,bearish,1,15,-0.0010497871361107838,-0.004418143574570044,0.010378242369459625,0.4666666666666667,-0.016317927992525405,0.021336755963869303,True,TATACONSUM_2024
bearish_engulfing,bearish,5,15,-0.004248907792828205,0.00029160186625198925,0.028720337294506376,0.5333333333333333,-0.06448163347378233,0.04034794681012599,True,TATACONSUM_2024
bearish_engulfing,bearish,10,15,-0.004288562838149083,-0.01261913979684004,0.04124442984412776,0.4666666666666667,-0.09224849420990577,0.05474600478653602,True,TATACONSUM_2024
bearish_engulfing,bearish,20,14,0.001777013913890362,0.0048317241306372605,0.05948733469471194,0.5714285714285714,-0.11661533118242218,0.09521038356420641,True,TATACONSUM_2024
bullish_engulfing,bullish,1,13,0.0009331864431949383,0.002632426710847069,0.01441046857505375,0.5384615384615384,-0.022162537455236442,0.02192564346997128,True,TATACONSUM_2024
bullish_engulfing,bullish,5,13,0.002533019077919807,-0.0007789754525360237,0.025091276344700333,0.46153846153846156,-0.03264994658391418,0.05222137252642489,True,TATACONSUM_2024
bullish_engulfing,bullish,10,13,0.013433220555974614,0.011717060150029823,0.022444721972377412,0.6923076923076923,-0.03035701235109256,0.04758063671314372,True,TATACONSUM_2024
bullish_engulfing,bullish,20,13,0.02274028555775042,0.028527370855821133,0.03576925049209647,0.6923076923076923,-0.030945222556280738,0.08587921363611617,True,TATACONSUM_2024
doji,neutral,1,6,0.002183685132342831,0.0047898095711230715,0.011466171548894375,0.8333333333333334,-0.019957753660135413,0.013287497336014198,True,TATACONSUM_2024
doji,neutral,5,6,0.008635117620669744,0.008750006756571671,0.032323653055555984,0.6666666666666666,-0.03702277764481854,0.059079025048494715,True,TATACONSUM_2024
doji,neutral,10,6,0.005439168081735002,0.00922652353706055,0.02886805110909597,0.6666666666666666,-0.0358469558702641,0.04494180652778956,True,TATACONSUM_2024
doji,neutral,20,6,-0.008891672880947277,-0.007474945173868486,0.04321405129567123,0.3333333333333333,-0.07869681487570623,0.05260808760079749,True,TATACONSUM_2024
evening_star,bearish,1,7,-0.0004367313703329386,0.0004098360655737654,0.01304594513736891,0.5714285714285714,-0.019225852635884944,0.015883795892716046,True,TATACONSUM_2024
evening_star,bearish,5,7,-0.0012818314948623208,-0.009973637151337478,0.022712697891611452,0.42857142857142855,-0.022559697295086223,0.0352538505419282,True,TATACONSUM_2024
evening_star,bearish,10,7,-0.004128041320755108,-0.0009226539217405128,0.04305109586731182,0.42857142857142855,-0.07189241703737803,0.0531660011409012,True,TATACONSUM_2024
evening_star,bearish,20,7,-0.006549557748856175,0.0025164537359658734,0.056571948610975455,0.5714285714285714,-0.09472823030117095,0.06817403930923627,True,TATACONSUM_2024
hammer,bullish,1,14,-0.0011949861142186594,0.00014299462770689386,0.012242601586240295,0.5,-0.019957753660135413,0.015710811458844676,True,TATACONSUM_2024
hammer,bullish,5,14,-0.0008349370166059902,-0.0004491928757329178,0.026729670870115164,0.5,-0.03702277764481854,0.061133138682814225,True,TATACONSUM_2024
hammer,bullish,10,13,-0.010159524076725756,-0.01226310956095844,0.03408336135781977,0.38461538461538464,-0.055675091257479936,0.05546403699117253,True,TATACONSUM_2024
hammer,bullish,20,13,-0.016687232538550756,-0.01737797321240031,0.05506435545054063,0.38461538461538464,-0.08608294759886082,0.09536360641210617,True,TATACONSUM_2024
morning_star,bullish,1,11,-0.003925229341797318,-0.0003318645255258046,0.012181938621746774,0.36363636363636365,-0.022162537455236442,0.01447338914635976,True,TATACONSUM_2024
morning_star,bullish,5,11,-0.004038726656616945,-0.003877280416990536,0.0163741927631305,0.45454545454545453,-0.03251297230139605,0.025743646361918504,True,TATACONSUM_2024
morning_star,bullish,10,11,0.0031916592674609,0.010868563210973514,0.03190525451639709,0.6363636363636364,-0.05868142530419884,0.05840888341578365,True,TATACONSUM_2024
morning_star,bullish,20,11,0.008226210266719124,-0.006297911406931256,0.03478240358034372,0.36363636363636365,-0.019240089616387013,0.08185948746257887,True,TATACONSUM_2024
shooting_star,bearish,1,18,0.004160732468501121,0.003269461237914939,0.011677555320811805,0.6111111111111112,-0.013462206144231548,0.025171787298397197,True,TATACONSUM_2024
shooting_star,bearish,5,18,0.009852039835277025,0.010048065745496548,0.02858244241919673,0.6111111111111112,-0.03487384569075802,0.059079025048494715,True,TATACONSUM_2024
shooting_star,bearish,10,18,0.007910492970905514,0.017246627291752414,0.034399717140330945,0.6111111111111112,-0.044559830575891524,0.0531660011409012,True,TATACONSUM_2024
shooting_star,bearish,20,17,0.012176409254712155,-0.0036588154584953347,0.0439473045161109,0.47058823529411764,-0.034741606940777214,0.10940791392552729,True,TATACONSUM_2024
three_white_soldiers,bullish,1,6,0.0004480014173347165,-0.0062157609459372876,0.01605131737845546,0.3333333333333333,-0.013580054364778715,0.02084248923266241,True,TATACONSUM_2024
three_white_soldiers,bullish,5,5,-0.0100028412944547,-0.0049126463426305556,0.022731228976283088,0.4,-0.0464587307130897,0.013448184934516938,True,TATACONSUM_2024
three_white_soldiers,bullish,10,5,-0.018468738059142797,-0.009501332009764663,0.04951101526960845,0.4,-0.08781309047273644,0.029489320559022536,True,TATACONSUM_2024
three_white_soldiers,bullish,20,5,-0.051767959899865136,-0.0807106753238861,0.0793775872946859,0.2,-0.14340595868146044,0.05966419616558394,True,TATACONSUM_2024
